sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
竹東,Hsinchu County,35,,良好,0.1,0.22,35,38.1,12,10,5.9,6.6,0.6,1.5,89,"2023/04/21 20:00:00",0.2,7,12,0,121.08895493,24.74091408,23
新竹,Hsinchu City,45,,良好,0.7,0.31,33.1,36.4,23,19,13.2,13.6,0.4,2.8,46,"2023/04/21 20:00:00",0.2,14,21,0,120.97236752,24.8056356,24
頭份,Miaoli County,40,,良好,1.6,0.26,31.9,36.5,29,15,14.8,15.9,1,2.3,55,"2023/04/21 20:00:00",0.2,12,23,1,120.89869286,24.69690679,25
苗栗,Miaoli County,54,細懸浮微粒,普通,2,0.28,33,40.6,24,20,11.4,12.3,0.9,2.2,18,"2023/04/21 20:00:00",0.2,16,21,1,120.82011468,24.56499183,26
三義,Miaoli County,44,,良好,0.9,0.21,33.9,47.4,16,8,3.4,3.9,0.5,3,18,"2023/04/21 20:00:00",0.2,12,21,0,120.75956754,24.38248443,27
豐原,Taichung,52,細懸浮微粒,普通,1.3,0.31,35.6,50.3,26,18,7.6,8.2,0.6,2.1,91,"2023/04/21 20:00:00",0.2,16,24,1,120.74252414,24.25699731,28
沙鹿,Taichung,44,,良好,1.6,0.28,33,48,19,11,11.1,11.4,0.3,2.1,4,"2023/04/21 20:00:00",0.2,13,27,1,120.568794,24.225628,29
大里,Taichung,54,細懸浮微粒,普通,1.2,0.56,23.5,49.9,37,19,24.2,24.6,0.3,1.1,1,"2023/04/21 20:00:00",0.4,16,29,0,120.67844444,24.09961111,30
忠明,Taichung,50,,良好,0.9,0.43,27.8,50.2,27,15,19.4,19.4,0,1.1,5,"2023/04/21 20:00:00",0.4,15,28,0,120.641092,24.151958,31
西屯,Taichung,65,細懸浮微粒,普通,0.6,0.31,29.2,48.7,26,,18.6,19.2,0.5,2.4,19,"2023/04/21 20:00:00",0.2,21,29,0,120.616917,24.162197,32
彰化,Changhua County,61,細懸浮微粒,普通,0.7,0.45,28.3,46.7,30,18,18.3,19.1,0.8,1.2,17,"2023/04/21 20:00:00",0.3,19,34,1,120.541519,24.066,33
線西,Changhua County,61,細懸浮微粒,普通,1.7,0.24,31.1,42.5,22,15,14,15,0.9,3.4,31,"2023/04/21 20:00:00",0.4,19,35,2,120.469061,24.131672,34
二林,Changhua County,72,細懸浮微粒,普通,3,0.52,29.4,48.2,56,32,15.4,15.5,0.1,2.9,28,"2023/04/21 20:00:00",0.4,24,49,2,120.409653,23.925175,35
南投,Nantou County,56,細懸浮微粒,普通,1.3,0.48,26.7,53.7,33,17,26,27,0.9,0.4,37,"2023/04/21 20:00:00",0.4,17,33,0,120.685306,23.913,36
斗六,Yunlin County,74,細懸浮微粒,普通,1.6,0.4,32,56.6,56,26,18,18.6,0.6,1.5,3,"2023/04/21 20:00:00",0.4,24,48,1,120.544994,23.711853,37
崙背,Yunlin County,66,細懸浮微粒,普通,3.8,0.38,29,49.8,49,23,15.6,16.4,0.8,1.7,22,"2023/04/21 20:00:00",0.2,21,43,2,120.348742,23.757547,38
新港,Chiayi County,64,細懸浮微粒,普通,2.7,0.31,39.3,58.3,55,18,10.7,11.7,1,1.8,349,"2023/04/21 20:00:00",0.2,20,43,2,120.345531,23.554839,39
朴子,Chiayi County,67,臭氧八小時,普通,1.6,0.22,45.7,60.8,34,20,5.6,5.8,0.1,1.1,334,"2023/04/21 20:00:00",0.2,18,31,1,120.2478,23.46538,40
臺西,Yunlin County,54,臭氧八小時,普通,1,0.24,42.9,56.8,37,19,7.4,9.2,1.7,5,27,"2023/04/21 20:00:00",0.2,15,33,1,120.19933333,23.702175,41
嘉義,Chiayi city,63,細懸浮微粒,普通,5,0.6,30.6,58,60,27,22.7,23.6,0.8,1.7,1,"2023/04/21 20:00:00",0.3,20,45,1,120.44125148,23.46477865,42
新營,Tainan City,74,臭氧八小時,普通,1.1,0.28,40,62.4,42,13,11.5,12.4,0.8,1.2,352,"2023/04/21 20:00:00",0.3,15,35,0,120.31725,23.305633,43
善化,Tainan City,80,臭氧八小時,普通,1.4,0.32,42.4,64.5,42,19,12.9,13.4,0.4,1,314,"2023/04/21 20:00:00",0.2,14,30,1,120.29740529,23.11337642,44
安南,Tainan City,61,臭氧八小時,普通,1.3,0.34,44.1,58.7,40,24,12.3,12.9,0.6,1.7,326,"2023/04/21 20:00:00",0.3,18,37,1,120.2175,23.048197,45
臺南,Tainan City,54,細懸浮微粒,普通,1,0.57,35.6,44.3,50,26,21.8,22.5,0.7,0.1,276,"2023/04/21 20:00:00",0.4,16,42,0,120.22085,22.99123,46
美濃,Kaohsiung city,60,細懸浮微粒,普通,0.9,0.41,23.3,51.2,31,21,9.9,10.7,0.8,0.7,199,"2023/04/21 20:00:00",0.3,19,33,0,120.530542,22.883583,47
橋頭,Kaohsiung city,58,細懸浮微粒,普通,1,0.45,45.2,54.6,36,19,15.6,16.4,0.7,0.4,74,"2023/04/21 20:00:00",0.4,18,39,1,120.305689,22.757506,48
